"id","data","temperatura","precipitacao","umidade"
1,"2024-09-10 00:00:00",21.04,0.0,30
2,"2024-09-10 03:00:00",20.83,0.0,30
3,"2024-09-10 06:00:00",19.61,0.0,33
4,"2024-09-10 09:00:00",27.27,0.0,23
5,"2024-09-10 12:00:00",31.98,0.0,17
6,"2024-09-10 15:00:00",33.25,0.0,14
7,"2024-09-10 18:00:00",26.91,0.0,20
8,"2024-09-10 21:00:00",25.08,0.0,21
9,"2024-09-11 00:00:00",22.24,0.0,26
10,"2024-09-11 03:00:00",20.93,0.0,29
11,"2024-09-11 06:00:00",19.91,0.0,33
12,"2024-09-11 09:00:00",28.47,0.0,22
13,"2024-09-11 12:00:00",32.98,0.0,16
14,"2024-09-11 15:00:00",33.95,0.0,13
15,"2024-09-11 18:00:00",27.58,0.0,18
16,"2024-09-11 21:00:00",24.88,0.0,20
17,"2024-09-12 00:00:00",23.3,0.0,23
18,"2024-09-12 03:00:00",22.04,0.0,27
19,"2024-09-12 06:00:00",20.56,0.0,31
20,"2024-09-12 09:00:00",27.65,0.0,22
21,"2024-09-12 12:00:00",34.44,0.0,12
22,"2024-09-12 15:00:00",35.49,0.0,10
23,"2024-09-12 18:00:00",28.66,0.0,14
24,"2024-09-12 21:00:00",26.04,0.0,17
25,"2024-09-13 00:00:00",24.19,0.0,21
26,"2024-09-13 03:00:00",22.62,0.0,26
27,"2024-09-13 06:00:00",20.71,0.0,30
28,"2024-09-13 09:00:00",28.11,0.0,23
29,"2024-09-13 12:00:00",35.01,0.0,13
30,"2024-09-13 15:00:00",36.41,0.0,11
31,"2024-09-13 18:00:00",29.68,0.0,17
32,"2024-09-13 21:00:00",26.29,0.0,20
33,"2024-09-14 00:00:00",24.76,0.0,24
34,"2024-09-14 03:00:00",23.55,0.0,28
35,"2024-09-14 06:00:00",21.99,0.0,31
36,"2024-09-14 09:00:00",29.34,0.0,19
37,"2024-09-14 12:00:00",35.62,0.0,13
38,"2024-09-14 15:00:00",37.13,0.0,11
39,"2024-09-14 18:00:00",30.98,0.0,17
40,"2024-09-14 21:00:00",27.73,0.0,20
41,"2024-09-15 00:00:00",19.91,0.0,65
42,"2024-09-15 03:00:00",19.52,0.0,57
43,"2024-09-15 06:00:00",16.88,0.0,80
44,"2024-09-15 09:00:00",23.76,0.0,52
45,"2024-09-15 12:00:00",29.95,0.0,31
46,"2024-09-15 15:00:00",33.04,0.0,24
47,"2024-09-15 18:00:00",26.71,0.0,39
48,"2024-09-15 21:00:00",21.69,0.0,60
49,"2024-09-16 00:00:00",19.25,0.0,74
50,"2024-09-16 03:00:00",17.8,0.0,81
51,"2024-09-16 06:00:00",15.03,0.0,92
52,"2024-09-16 09:00:00",17.18,0.0,76
53,"2024-09-16 12:00:00",30.19,0.0,30
54,"2024-09-16 15:00:00",31.54,0.0,27
55,"2024-09-16 18:00:00",22.26,0.0,56
56,"2024-09-16 21:00:00",15.87,0.0,80
57,"2024-09-17 00:00:00",14.89,0.0,83
58,"2024-09-17 03:00:00",14.3,0.0,84
59,"2024-09-17 06:00:00",14.14,0.0,87
60,"2024-09-17 09:00:00",21.3,0.0,57
61,"2024-09-17 12:00:00",28.62,0.0,36
62,"2024-09-17 15:00:00",31.79,0.0,25
63,"2024-09-17 18:00:00",25.4,0.0,42
64,"2024-09-17 21:00:00",16.72,0.0,73
65,"2024-09-18 00:00:00",14.87,0.0,82
66,"2024-09-18 03:00:00",16.53,0.0,78
67,"2024-09-18 06:00:00",15.91,0.0,83
68,"2024-09-18 09:00:00",22.75,0.0,55
69,"2024-09-18 12:00:00",29.78,0.0,35
70,"2024-09-18 15:00:00",33.0,0.0,26
71,"2024-09-18 18:00:00",27.77,0.0,36
72,"2024-09-18 21:00:00",23.09,0.1,49
73,"2024-09-19 00:00:00",19.91,0.38,65
74,"2024-09-19 03:00:00",19.07,0.0,73
75,"2024-09-19 06:00:00",18.07,0.23,80
76,"2024-09-19 09:00:00",24.78,0.0,48
77,"2024-09-19 12:00:00",32.5,0.0,28
78,"2024-09-19 15:00:00",34.82,0.0,21
